User name,Event time,Event name,Source IP address,Error code,Resources,Event type,Event category,Hour_of_Day,Time_of_Day_Bucket,Is_Root_Account,Is_High_Risk_Action,Is_Console_Login,Is_Security_Error,Risk_Score,Risk_Level,Risk_Sort
root,2026-03-30 01:17:37+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,1,Outside-Hours,True,False,True,False,7,Medium,3
project-user,2026-03-30 01:15:40+00:00,PutMetricAlarm,99.237.32.xxx,AccessDenied,[],AwsApiCall,Management,1,Outside-Hours,False,False,False,True,6,Medium,3
root,2026-03-30 01:08:23+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/CloudWatchReadOnlyAccess""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-30 01:08:23+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_ReadOnlyAccess""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-30 01:08:23+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-30 01:08:23+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-30 00:48:00+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess""}]",AwsApiCall,Management,0,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-30 00:47:42+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",AwsApiCall,Management,0,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 18:41:05+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""OpenSSHExposure-Alarm""}]",AwsApiCall,Management,18,Night,True,False,False,False,5,Medium,3
root,2026-03-29 18:29:12+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""OpenSSHExposure-Alarm""}]",AwsApiCall,Management,18,Night,True,False,False,False,5,Medium,3
root,2026-03-29 18:24:10+00:00,PutMetricFilter,99.237.32.xxx,,[],AwsApiCall,Management,18,Night,True,False,False,False,5,Medium,3
root,2026-03-29 18:04:16+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""OpenSSHExposure-Alarm""}]",AwsApiCall,Management,18,Night,True,False,False,False,5,Medium,3
root,2026-03-29 17:58:24+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,17,Night,True,True,False,False,12,High,2
root,2026-03-29 17:56:09+00:00,PutMetricFilter,99.237.32.xxx,,[],AwsApiCall,Management,17,Night,True,False,False,False,5,Medium,3
root,2026-03-29 16:29:38+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,16,Afternoon,True,False,True,False,5,Medium,3
root,2026-03-29 06:47:18+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,6,Morning,True,True,False,False,12,High,2
root,2026-03-29 06:32:37+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""SSHBruteForceAlarm""}]",AwsApiCall,Management,6,Morning,True,False,False,False,5,Medium,3
root,2026-03-29 06:05:11+00:00,AuthorizeSecurityGroupIngress,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-xxxxxxxx""}]",AwsApiCall,Management,6,Morning,True,True,False,False,12,High,2
root,2026-03-29 05:56:11+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,5,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-29 02:49:04+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",AwsApiCall,Management,2,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-29 02:44:08+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,2,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-29 02:39:19+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",AwsApiCall,Management,2,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 02:38:37+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""SuspiciousIAMActivityAlarm""}]",AwsApiCall,Management,2,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 02:36:34+00:00,PutMetricFilter,99.237.32.xxx,,[],AwsApiCall,Management,2,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 02:14:25+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",AwsApiCall,Management,2,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-29 02:14:02+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",AwsApiCall,Management,2,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 02:03:08+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,2,Outside-Hours,True,False,True,False,7,Medium,3
project-user,2026-03-29 02:01:34+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,2,Outside-Hours,False,True,False,False,9,Medium,3
project-user,2026-03-29 02:00:30+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,2,Outside-Hours,False,True,False,False,9,Medium,3
project-user,2026-03-29 02:00:11+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,2,Outside-Hours,False,True,False,False,9,Medium,3
project-user,2026-03-29 01:59:55+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,1,Outside-Hours,False,True,False,False,9,Medium,3
root,2026-03-29 01:57:20+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-29 01:51:05+00:00,CreatePolicyVersion,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:policy/IAM-Attach-Policy-Test""}]",AwsApiCall,Management,1,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 01:50:16+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,1,Outside-Hours,True,False,True,False,7,Medium,3
project-user,2026-03-29 01:48:51+00:00,StartInstances,99.237.32.xxx,Client.UnauthorizedOperation,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,1,Outside-Hours,False,True,False,True,13,High,2
root,2026-03-29 01:46:37+00:00,CreatePolicyVersion,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:policy/IAM-Attach-Policy-Test""}]",AwsApiCall,Management,1,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 01:32:08+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,1,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-29 00:52:40+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""SuspiciousIAMActivityAlarm""}]",AwsApiCall,Management,0,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 00:50:44+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""SuspiciousIAMActivityAlarm""}]",AwsApiCall,Management,0,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-29 00:42:57+00:00,PutMetricFilter,99.237.32.xxx,,[],AwsApiCall,Management,0,Outside-Hours,True,False,False,False,7,Medium,3
CLOUDWATCH_LOGS_DELIVERY_SESSION,2026-03-28 23:47:15+00:00,CreateLogStream,cloudtrail.amazonaws.com,,[],AwsApiCall,Management,23,Outside-Hours,False,False,False,False,2,Low,4
